TIME,TEM,PG,OPD,Solventamount,Solvent,catalyst,catalystamount,PEAK,INT
8,180,6.25,6.25,25,O,CC(=O)O,15,565,31.43
8,180,6.25,6.25,25,CCO,CC(=O)O,15,516,24.48
8,180,0,6.25,25,CCO,CC(=O)O,15,597,0.475
12,200,0.2,5,25,CCO,CC(=O)O,15,576,1.124
12,200,0,5,25,CCO,CC(=O)O,15,504,145.1
12,80,5,20,25,CCO,C(CN)N,15,549,10.16
12,80,5,20,25,CCO,OO,15,546,149.1
12,80,5,20,25,CCO,CC(=O)O,15,535,529.6
12,80,5,20,25,CCO,C(CN)N,15,539,183
12,80,5,20,25,CCO,OO,15,546,72.79
12,80,5,20,25,CCO,CC(=O)O,15,538,164.6
4,80,0,15,25,CO,CC(=O)O,15,524,404.8
4,200,50,50,25,CCO,NONE,0,0,0
8,200,50,50,25,CCO,NONE,0,0,0
12,200,50,50,25,CCO,NONE,0,0,0
24,200,50,50,25,CCO,NONE,0,0,0
36,200,0,50,25,CCO,CC(=O)O,15,523,211.6
36,200,0,50,25,CCO,CC(=O)O,30,595,16.32
36,200,0,50,25,CCO,CC(=O)O,45,596,24.58
36,200,0,50,25,CCO,CC(=O)O,60,602,18.35
8,120,15,15,25,O,NONE,0,586,1.643
8,120,15,15,25,CCO,NONE,0,536,681.5
8,120,15,15,25,CO,NONE,0,544,95.96
8,120,15,15,25,C(CO)O,NONE,0,523,30.56
24,160,5,5,25,CCO,C(CN)N,15,512,79.66
24,160,5,5,25,CCO,OO,15,531,168.9
24,160,5,5,25,CCO,CC(=O)O,15,528,217.7
24,160,0,10,25,CCO,C(CN)N,15,527,159
24,160,0,10,25,CCO,OO,15,536,596.1
24,160,0,10,25,CCO,CC(=O)O,15,536,1338
36,200,0,50,25,CCO,CC(=O)O,75,599,14.42
36,200,0,50,25,CCO,CC(=O)O,90,553,29.25
4,80,5,5,25,CCO,CC(=O)O,15,535,585
8,80,5,5,25,CCO,CC(=O)O,15,535,831.6
12,80,5,5,25,CCO,CC(=O)O,15,535,876
24,80,5,5,25,CCO,CC(=O)O,15,535,758.2
8,120,5,5,25,CCO,NONE,0,545,261.3
12,120,5,5,25,CCO,NONE,0,542,332.3
24,120,5,5,25,CCO,NONE,0,542,292.6
4,160,5,5,25,CCO,NONE,0,533,84.07
8,160,5,5,25,CCO,NONE,0,512,71.21
12,160,5,5,25,CCO,NONE,0,520,83.99
24,160,5,5,25,CCO,NONE,0,527,53.66
4,200,5,5,25,CCO,NONE,0,521,68.69
8,200,5,5,25,CCO,NONE,0,522,62.87
12,200,5,5,25,CCO,NONE,0,517,100.1
12,80,0,25,25,CCO,CC(=O)O,15,537,359.9
12,80,0,50,25,CCO,CC(=O)O,15,538,178.4
12,80,0,250,25,CCO,CC(=O)O,15,545,13.55
12,180,0,25,25,CCO,CC(=O)O,15,559,15.89
12,180,0,50,25,CCO,CC(=O)O,15,550,41.86
12,180,0,250,25,CCO,CC(=O)O,15,0,0
4,200,0,50,25,CCO,CC(=O)O,15,545,148.7
4,200,0,50,25,CCO,CC(=O)O,30,563,10
4,200,0,50,25,CCO,CC(=O)O,45,557,14.48
4,200,0,50,25,CCO,CC(=O)O,60,556,24.52
4,200,0,50,25,CCO,CC(=O)O,75,558,34.45
4,200,0,50,25,CCO,CC(=O)O,90,563,14.36
4,200,25,25,25,CCO,NONE,0,514,312.4
8,200,25,25,25,CCO,NONE,0,550,5.456
12,200,25,25,25,CCO,NONE,0,532,5.12
24,200,25,25,25,CCO,NONE,0,526,0.966
8,80,0,15,25,CO,CC(=O)O,15,533,163.5
8,120,0,5,50,CCO,CC(=O)O,15,534,692.1
8,180,5,5,25,CCO,CC(=O)O,15,537,697.9
8,180,5,5,25,CCO,OO,15,519,91.56
8,180,5,5,25,CCO,C(CN)N,15,503,33.16
4,80,0,15,25,C(CO)O,CC(=O)O,15,560,286
8,80,0,15,25,C(CO)O,CC(=O)O,15,562,262.4
4,120,0,15,25,CO,CC(=O)O,15,547,54.72
4,120,0,15,25,C(CO)O,CC(=O)O,15,557,198.2
4,180,0,15,25,CO,CC(=O)O,15,535,539.1
4,180,0,15,25,C(CO)O,CC(=O)O,15,529,69.99
4,180,0,15,25,O,CC(=O)O,15,0,0
4,120,0,15,25,O,CC(=O)O,15,0,0
8,120,0,20,50,CCO,CC(=O)O,15,535,632
8,120,0,15,50,CCO,CC(=O)O,15,534,786.4
8,120,0,10,50,CCO,CC(=O)O,15,535,926.9
